Year,Country,Continent,Crop_Type,extreme_weather_model
2006,USA,North America,Coffee,1
2005,Nigeria,Africa,Soybeans,1
2008,France,Europe,Vegetables,1
2010,Russia,Eurasia,Sugarcane,1
2009,Nigeria,Africa,Cotton,1
2000,Russia,Eurasia,Wheat,1
1994,Russia,Eurasia,Wheat,1
2012,Argentina,South America,Corn,1
2007,India,South Asia,Coffee,1
1991,Nigeria,Africa,Coffee,1
2017,Australia,Oceania,Corn,1
2000,China,East Asia,Cotton,1
1999,Nigeria,Africa,Rice,1
1998,Nigeria,Africa,Cotton,1
2019,India,South Asia,Soybeans,1
2004,Argentina,South America,Cotton,1
2013,USA,North America,Fruits,1
2017,India,South Asia,Barley,1
2020,Nigeria,Africa,Wheat,1
1996,Nigeria,Africa,Sugarcane,1
1997,Australia,Oceania,Fruits,1
2023,Nigeria,Africa,Corn,1
1993,Nigeria,Africa,Corn,1
2007,Australia,Oceania,Soybeans,1
2005,India,South Asia,Rice,1
2021,Nigeria,Africa,Wheat,1
2004,India,South Asia,Corn,1
1991,Australia,Oceania,Cotton,1
2004,Brazil,South America,Wheat,1
1997,France,Europe,Coffee,1
2007,Canada,North America,Vegetables,1
1991,Nigeria,Africa,Barley,1
2017,China,East Asia,Corn,1
2022,Australia,Oceania,Vegetables,1
2008,Nigeria,Africa,Rice,1
2000,France,Europe,Coffee,1
1993,USA,North America,Coffee,1
2003,Nigeria,Africa,Wheat,1
2024,India,South Asia,Coffee,1
2000,Nigeria,Africa,Sugarcane,1
2020,France,Europe,Cotton,1
2009,Argentina,South America,Vegetables,1
1992,India,South Asia,Fruits,1
1992,India,South Asia,Coffee,1
1993,Argentina,South America,Fruits,1
2018,Russia,Eurasia,Cotton,1
2009,Australia,Oceania,Coffee,1
2010,Brazil,South America,Barley,1
1991,China,East Asia,Coffee,1
2022,India,South Asia,Cotton,1
2008,China,East Asia,Cotton,1
1999,France,Europe,Soybeans,1
2000,USA,North America,Wheat,1
2016,Australia,Oceania,Rice,1
2008,USA,North America,Cotton,1
1990,Australia,Oceania,Cotton,1
2004,Nigeria,Africa,Corn,1
2018,India,South Asia,Corn,1
2004,Argentina,South America,Vegetables,1
1993,Russia,Eurasia,Rice,1
1991,USA,North America,Sugarcane,1
2016,Canada,North America,Corn,1
2008,Russia,Eurasia,Wheat,1
2015,Russia,Eurasia,Coffee,1
2012,Russia,Eurasia,Vegetables,1
2012,China,East Asia,Rice,1
2015,Nigeria,Africa,Vegetables,1
2004,India,South Asia,Vegetables,1
2023,China,East Asia,Sugarcane,1
1994,India,South Asia,Fruits,1
2009,China,East Asia,Soybeans,1
2021,Russia,Eurasia,Coffee,1
2021,Australia,Oceania,Barley,1
2022,Argentina,South America,Coffee,1
2021,Russia,Eurasia,Cotton,1
2020,China,East Asia,Vegetables,1
1994,Australia,Oceania,Rice,1
1996,USA,North America,Barley,1
2014,Australia,Oceania,Corn,1
1998,France,Europe,Cotton,1
1995,Nigeria,Africa,Coffee,1
1997,Nigeria,Africa,Corn,1
2015,Nigeria,Africa,Sugarcane,1
2020,Nigeria,Africa,Coffee,1
2010,China,East Asia,Barley,1
2024,Australia,Oceania,Corn,1
2015,Argentina,South America,Coffee,1
2022,Nigeria,Africa,Sugarcane,1
2022,Argentina,South America,Sugarcane,1
2018,Russia,Eurasia,Vegetables,1
2010,France,Europe,Coffee,1
2011,China,East Asia,Fruits,1
1995,Nigeria,Africa,Coffee,1
2019,India,South Asia,Soybeans,1
2006,China,East Asia,Cotton,1
2012,India,South Asia,Coffee,1
2000,Brazil,South America,Coffee,1
2014,Canada,North America,Corn,1
2008,Canada,North America,Coffee,1
1993,India,South Asia,Fruits,1
2014,India,South Asia,Coffee,1
2003,India,South Asia,Rice,1
2014,Australia,Oceania,Soybeans,1
2023,Nigeria,Africa,Barley,1
2003,China,East Asia,Wheat,1
1992,Brazil,South America,Barley,1
2022,Russia,Eurasia,Fruits,1
2019,Canada,North America,Barley,1
1990,Nigeria,Africa,Barley,1
1991,France,Europe,Rice,1
2003,Nigeria,Africa,Wheat,1
1996,Argentina,South America,Fruits,1
1995,Russia,Eurasia,Wheat,1
2009,France,Europe,Fruits,1
1991,France,Europe,Vegetables,1
2003,France,Europe,Vegetables,1
2023,Brazil,South America,Vegetables,1
2009,Russia,Eurasia,Corn,1
2014,Argentina,South America,Rice,1
2017,China,East Asia,Sugarcane,1
2022,France,Europe,Cotton,1
2021,Nigeria,Africa,Sugarcane,1
2023,Australia,Oceania,Fruits,1
2009,France,Europe,Wheat,1
1991,USA,North America,Wheat,1
2002,Canada,North America,Barley,1
2024,Russia,Eurasia,Coffee,1
1998,India,South Asia,Soybeans,1
2013,Nigeria,Africa,Sugarcane,1
2019,Argentina,South America,Corn,1
2020,Canada,North America,Vegetables,1
2020,France,Europe,Vegetables,1
1999,Russia,Eurasia,Barley,1
2018,Brazil,South America,Corn,1
2013,India,South Asia,Wheat,1
2018,India,South Asia,Barley,1
1991,Argentina,South America,Rice,1
2004,India,South Asia,Sugarcane,1
2015,USA,North America,Wheat,1
1998,Nigeria,Africa,Rice,1
2009,India,South Asia,Coffee,1
2008,USA,North America,Coffee,1
2013,France,Europe,Corn,1
2013,USA,North America,Soybeans,1
2013,USA,North America,Soybeans,1
2012,India,South Asia,Wheat,1
2005,Australia,Oceania,Cotton,1
1996,France,Europe,Rice,1
2001,Argentina,South America,Cotton,1
1997,Canada,North America,Wheat,1
2011,Russia,Eurasia,Corn,1
1997,France,Europe,Soybeans,1
2001,Brazil,South America,Coffee,1
2002,Canada,North America,Vegetables,1
1992,Russia,Eurasia,Coffee,1
1992,China,East Asia,Fruits,1
2021,France,Europe,Barley,1
2015,Canada,North America,Wheat,1
2002,USA,North America,Coffee,1
2005,India,South Asia,Corn,1
2013,Brazil,South America,Cotton,1
2024,Brazil,South America,Cotton,1
1994,Canada,North America,Barley,1
2002,India,South Asia,Wheat,1
2002,China,East Asia,Vegetables,1
1997,France,Europe,Cotton,1
2021,Brazil,South America,Wheat,1
2010,France,Europe,Barley,1
1992,Canada,North America,Fruits,1
1993,USA,North America,Rice,1
1996,Australia,Oceania,Coffee,1
2006,Russia,Eurasia,Sugarcane,1
2007,France,Europe,Vegetables,1
2018,Argentina,South America,Sugarcane,1
2014,Canada,North America,Barley,1
2017,USA,North America,Vegetables,1
2007,Russia,Eurasia,Vegetables,1
2001,France,Europe,Fruits,1
2017,USA,North America,Rice,1
2006,Brazil,South America,Rice,1
2024,Argentina,South America,Rice,1
1997,Nigeria,Africa,Sugarcane,1
2012,USA,North America,Coffee,1
1992,India,South Asia,Corn,1
2001,USA,North America,Fruits,1
1996,USA,North America,Barley,1
1992,Argentina,South America,Barley,1
1996,Brazil,South America,Coffee,1
2005,Australia,Oceania,Soybeans,1
2017,Australia,Oceania,Cotton,1
2016,Nigeria,Africa,Cotton,1
1998,Nigeria,Africa,Coffee,1
2018,Brazil,South America,Cotton,1
2017,USA,North America,Vegetables,1
2015,Brazil,South America,Sugarcane,1
2016,Nigeria,Africa,Barley,1
2024,Argentina,South America,Wheat,1
2005,Brazil,South America,Vegetables,1
1996,India,South Asia,Barley,1
1996,Australia,Oceania,Cotton,1
2021,Canada,North America,Sugarcane,1
1993,Nigeria,Africa,Coffee,1
2018,France,Europe,Soybeans,1
2024,China,East Asia,Cotton,1
1997,USA,North America,Barley,1
2000,China,East Asia,Fruits,1
2003,China,East Asia,Soybeans,1
2018,Nigeria,Africa,Corn,1
2014,China,East Asia,Barley,1
1992,Brazil,South America,Corn,1
2000,Brazil,South America,Sugarcane,1
2017,Russia,Eurasia,Barley,1
1992,Nigeria,Africa,Sugarcane,1
2006,India,South Asia,Coffee,1
2024,Russia,Eurasia,Wheat,1
2003,Argentina,South America,Barley,1
2017,Russia,Eurasia,Fruits,1
2001,Australia,Oceania,Corn,1
2020,Russia,Eurasia,Corn,1
2013,India,South Asia,Corn,1
2012,Australia,Oceania,Barley,1
2019,Australia,Oceania,Fruits,1
1996,France,Europe,Barley,1
1992,Russia,Eurasia,Sugarcane,1
2002,Canada,North America,Corn,1
2023,India,South Asia,Corn,1
2020,Canada,North America,Barley,1
2004,Canada,North America,Wheat,1
2000,India,South Asia,Fruits,1
1993,Russia,Eurasia,Corn,1
1995,Argentina,South America,Wheat,1
2008,Argentina,South America,Sugarcane,1
2011,Canada,North America,Cotton,1
2017,China,East Asia,Fruits,1
2008,Brazil,South America,Barley,1
2014,India,South Asia,Fruits,1
2005,Russia,Eurasia,Vegetables,1
2018,Canada,North America,Rice,1
2004,Australia,Oceania,Corn,1
2003,Nigeria,Africa,Sugarcane,1
2018,France,Europe,Corn,1
1992,Nigeria,Africa,Cotton,1
2005,Argentina,South America,Sugarcane,1
2019,Russia,Eurasia,Corn,1
2024,Australia,Oceania,Cotton,1
1995,Argentina,South America,Coffee,1
1995,Australia,Oceania,Cotton,1
2018,Canada,North America,Vegetables,1
2000,Canada,North America,Sugarcane,1
2006,Argentina,South America,Rice,1
1990,USA,North America,Soybeans,1
2022,Canada,North America,Cotton,1
2005,Canada,North America,Coffee,1
2023,Brazil,South America,Soybeans,1
1993,Russia,Eurasia,Cotton,1
2010,Argentina,South America,Cotton,1
2020,Nigeria,Africa,Sugarcane,1
2017,Canada,North America,Rice,1
2002,USA,North America,Cotton,1
2004,Nigeria,Africa,Corn,1
1997,Russia,Eurasia,Rice,1
1993,Nigeria,Africa,Cotton,1
2004,Russia,Eurasia,Fruits,1
2001,Canada,North America,Vegetables,1
2005,USA,North America,Corn,1
2014,Australia,Oceania,Barley,1
1998,USA,North America,Coffee,1
1992,Australia,Oceania,Cotton,1
1991,India,South Asia,Corn,1
2000,India,South Asia,Barley,1
1997,Australia,Oceania,Coffee,1
2021,USA,North America,Corn,1
2017,Nigeria,Africa,Fruits,1
2016,India,South Asia,Vegetables,1
2021,USA,North America,Fruits,1
2017,China,East Asia,Coffee,1
1991,Australia,Oceania,Sugarcane,1
2005,France,Europe,Sugarcane,1
2014,China,East Asia,Barley,1
2000,Brazil,South America,Vegetables,1
2007,France,Europe,Fruits,1
2002,Australia,Oceania,Cotton,1
2020,India,South Asia,Corn,1
2019,Russia,Eurasia,Vegetables,1
1993,Argentina,South America,Vegetables,1
2006,Canada,North America,Rice,1
2012,USA,North America,Sugarcane,1
2011,France,Europe,Soybeans,1
1993,Canada,North America,Sugarcane,1
2012,India,South Asia,Cotton,1
2004,India,South Asia,Rice,1
2007,Australia,Oceania,Cotton,1
2011,Argentina,South America,Wheat,1
2017,Australia,Oceania,Cotton,1
2014,Argentina,South America,Fruits,1
1997,Nigeria,Africa,Cotton,1
2002,USA,North America,Vegetables,1
2023,USA,North America,Corn,1
2010,India,South Asia,Sugarcane,1
1992,Australia,Oceania,Rice,1
2019,Canada,North America,Cotton,1
2014,Nigeria,Africa,Corn,1
2004,Australia,Oceania,Coffee,1
2005,USA,North America,Vegetables,1
2005,China,East Asia,Coffee,1
1991,India,South Asia,Soybeans,1
1998,USA,North America,Barley,1
1995,Nigeria,Africa,Rice,1
2016,Nigeria,Africa,Rice,1
2005,Brazil,South America,Barley,1
2024,Argentina,South America,Rice,1
2015,Russia,Eurasia,Fruits,1
1995,Brazil,South America,Rice,1
2023,USA,North America,Vegetables,1
1995,USA,North America,Rice,1
1996,USA,North America,Barley,1
2003,France,Europe,Coffee,1
2010,USA,North America,Fruits,1
2011,Nigeria,Africa,Barley,1
2006,France,Europe,Coffee,1
1991,Nigeria,Africa,Cotton,1
2009,Russia,Eurasia,Rice,1
2023,India,South Asia,Fruits,1
1994,France,Europe,Corn,1
1992,Nigeria,Africa,Rice,1
2004,Australia,Oceania,Coffee,1
2019,Australia,Oceania,Fruits,1
1994,Australia,Oceania,Rice,1
1995,Canada,North America,Cotton,1
1993,Russia,Eurasia,Coffee,1
1994,France,Europe,Fruits,1
2005,Canada,North America,Rice,1
2007,Australia,Oceania,Sugarcane,1
2000,Canada,North America,Fruits,1
1994,Russia,Eurasia,Cotton,1
2012,Australia,Oceania,Soybeans,1
1995,Argentina,South America,Coffee,1
2012,India,South Asia,Vegetables,1
2004,Argentina,South America,Barley,1
2004,India,South Asia,Coffee,1
1993,Canada,North America,Coffee,1
2019,USA,North America,Wheat,1
2016,Australia,Oceania,Coffee,1
2008,France,Europe,Barley,1
2018,Argentina,South America,Sugarcane,1
2023,Canada,North America,Fruits,1
2000,Australia,Oceania,Barley,1
2005,Argentina,South America,Wheat,1
1994,Brazil,South America,Wheat,1
1996,China,East Asia,Corn,1
2015,Australia,Oceania,Vegetables,1
1994,Nigeria,Africa,Sugarcane,1
2008,Argentina,South America,Fruits,1
2021,Australia,Oceania,Wheat,1
2013,France,Europe,Vegetables,1
2001,China,East Asia,Cotton,1
2005,China,East Asia,Coffee,1
2001,Russia,Eurasia,Rice,1
2007,China,East Asia,Barley,1
2014,China,East Asia,Coffee,1
1997,Argentina,South America,Rice,1
1990,USA,North America,Barley,1
2004,USA,North America,Wheat,1
2019,China,East Asia,Fruits,1
2003,France,Europe,Soybeans,1
2002,China,East Asia,Cotton,1
2015,Nigeria,Africa,Vegetables,1
2009,France,Europe,Sugarcane,1
2012,China,East Asia,Barley,1
2011,Canada,North America,Vegetables,1
2020,Argentina,South America,Fruits,1
2002,Australia,Oceania,Fruits,1
2007,India,South Asia,Sugarcane,1
2012,Russia,Eurasia,Cotton,1
2007,Nigeria,Africa,Vegetables,1
2000,India,South Asia,Corn,1
1994,USA,North America,Coffee,1
2009,USA,North America,Corn,1
1991,Nigeria,Africa,Corn,1
2010,Canada,North America,Wheat,1
1994,France,Europe,Cotton,1
1993,USA,North America,Coffee,1
2005,Brazil,South America,Wheat,1
1992,Canada,North America,Wheat,1
1999,Canada,North America,Cotton,1
2019,Argentina,South America,Rice,1
2019,India,South Asia,Cotton,1
2011,Nigeria,Africa,Barley,1
1996,China,East Asia,Vegetables,1
2001,Brazil,South America,Coffee,1
2017,India,South Asia,Wheat,1
2017,Russia,Eurasia,Cotton,1
2024,India,South Asia,Barley,1
2017,India,South Asia,Fruits,1
2008,India,South Asia,Rice,1
2014,Australia,Oceania,Fruits,1
2012,Australia,Oceania,Coffee,1
2024,Australia,Oceania,Cotton,1
2001,USA,North America,Wheat,1
1996,USA,North America,Soybeans,1
1997,France,Europe,Fruits,1
2016,Argentina,South America,Wheat,1
2005,France,Europe,Sugarcane,1
1992,Brazil,South America,Rice,1
2011,USA,North America,Sugarcane,1
2008,Argentina,South America,Fruits,1
2018,Australia,Oceania,Barley,1
1996,Canada,North America,Vegetables,1
1998,Nigeria,Africa,Barley,1
1998,Nigeria,Africa,Corn,1
2005,Nigeria,Africa,Corn,1
2017,France,Europe,Fruits,1
2009,Canada,North America,Soybeans,1
1995,Argentina,South America,Coffee,1
2004,Brazil,South America,Sugarcane,1
1990,China,East Asia,Barley,1
2022,Brazil,South America,Sugarcane,1
2001,Argentina,South America,Wheat,1
2002,Nigeria,Africa,Sugarcane,1
2002,Australia,Oceania,Wheat,1
2012,Australia,Oceania,Coffee,1
2007,India,South Asia,Vegetables,1
2021,USA,North America,Soybeans,1
2012,India,South Asia,Wheat,1
2015,Canada,North America,Rice,1
1994,Australia,Oceania,Vegetables,1
2000,Canada,North America,Sugarcane,1
2024,Brazil,South America,Corn,1
2018,Russia,Eurasia,Barley,1
2007,Russia,Eurasia,Barley,1
1994,France,Europe,Coffee,1
2012,USA,North America,Vegetables,1
2009,USA,North America,Soybeans,1
2024,Russia,Eurasia,Rice,1
2023,Nigeria,Africa,Soybeans,1
2013,USA,North America,Wheat,1
2004,India,South Asia,Wheat,1
2020,Argentina,South America,Barley,1
2011,Brazil,South America,Sugarcane,1
2020,Argentina,South America,Coffee,1
2019,Argentina,South America,Sugarcane,1
2013,France,Europe,Coffee,1
2007,Australia,Oceania,Soybeans,1
2011,Nigeria,Africa,Wheat,1
2023,China,East Asia,Cotton,1
2001,Argentina,South America,Wheat,1
2023,China,East Asia,Fruits,1
2013,India,South Asia,Fruits,1
1996,China,East Asia,Coffee,1
2002,Brazil,South America,Corn,1
1991,Russia,Eurasia,Wheat,1
1997,Argentina,South America,Corn,1
1990,India,South Asia,Sugarcane,1
2023,Nigeria,Africa,Corn,1
2023,Australia,Oceania,Soybeans,1
1999,China,East Asia,Fruits,1
1992,Australia,Oceania,Vegetables,1
2017,Argentina,South America,Vegetables,1
2013,Canada,North America,Vegetables,1
2023,USA,North America,Soybeans,1
2005,Canada,North America,Fruits,1
2002,France,Europe,Vegetables,1
2016,France,Europe,Soybeans,1
1994,Canada,North America,Barley,1
2007,Australia,Oceania,Fruits,1
2015,Argentina,South America,Soybeans,1
2024,Argentina,South America,Cotton,1
1994,Australia,Oceania,Vegetables,1
1991,China,East Asia,Sugarcane,1
2014,Nigeria,Africa,Cotton,1
2002,Canada,North America,Fruits,1
2016,India,South Asia,Coffee,1
2005,USA,North America,Corn,1
1996,Argentina,South America,Soybeans,1
1996,Argentina,South America,Coffee,1
2003,Nigeria,Africa,Fruits,1
2020,Australia,Oceania,Corn,1
1994,Nigeria,Africa,Corn,1
2011,USA,North America,Soybeans,1
2010,Brazil,South America,Fruits,1
2019,Canada,North America,Sugarcane,1
1998,Russia,Eurasia,Sugarcane,1
2024,France,Europe,Coffee,1
2000,Brazil,South America,Vegetables,1
2008,USA,North America,Barley,1
2005,France,Europe,Coffee,1
2000,Nigeria,Africa,Corn,1
2007,Brazil,South America,Fruits,1
2021,Canada,North America,Wheat,1
2010,Nigeria,Africa,Coffee,1
1991,France,Europe,Cotton,1
2014,Argentina,South America,Sugarcane,1
2019,France,Europe,Fruits,1
1998,India,South Asia,Corn,1
2014,India,South Asia,Wheat,1
1998,Australia,Oceania,Wheat,1
2011,Australia,Oceania,Wheat,1
2000,Argentina,South America,Sugarcane,1
2010,Brazil,South America,Fruits,1
2020,Nigeria,Africa,Rice,1
2007,China,East Asia,Rice,1
2021,China,East Asia,Fruits,1
2019,Canada,North America,Soybeans,1
1994,USA,North America,Vegetables,1
2009,Argentina,South America,Sugarcane,1
2009,Nigeria,Africa,Wheat,1
2007,India,South Asia,Rice,1
2002,Australia,Oceania,Rice,1
2019,China,East Asia,Cotton,1
2002,Nigeria,Africa,Rice,1
2015,Canada,North America,Soybeans,1
2004,India,South Asia,Cotton,1
2018,France,Europe,Rice,1
1999,India,South Asia,Fruits,1
2019,USA,North America,Rice,1
2012,India,South Asia,Sugarcane,1
2010,USA,North America,Vegetables,1
2002,Canada,North America,Rice,1
2006,USA,North America,Fruits,1
2001,Argentina,South America,Barley,1
1991,Australia,Oceania,Rice,1
2001,Argentina,South America,Sugarcane,1
1990,Argentina,South America,Barley,1
1999,Nigeria,Africa,Cotton,1
2007,Argentina,South America,Vegetables,1
1992,China,East Asia,Wheat,1
2019,Nigeria,Africa,Fruits,1
1990,China,East Asia,Barley,1
2023,India,South Asia,Rice,1
2015,Argentina,South America,Sugarcane,1
1998,Russia,Eurasia,Wheat,1
2022,Brazil,South America,Barley,1
2014,France,Europe,Fruits,1
1996,Australia,Oceania,Barley,1
1997,China,East Asia,Fruits,1
2007,India,South Asia,Sugarcane,1
2021,France,Europe,Soybeans,1
1993,Russia,Eurasia,Barley,1
2017,China,East Asia,Coffee,1
2020,Argentina,South America,Corn,1
2024,Nigeria,Africa,Soybeans,1
1992,Russia,Eurasia,Coffee,1
2011,Argentina,South America,Coffee,1
2024,Canada,North America,Rice,1
2000,Brazil,South America,Soybeans,1
2004,USA,North America,Sugarcane,1
2000,Argentina,South America,Cotton,1
1995,Russia,Eurasia,Corn,1
2011,Canada,North America,Fruits,1
2002,Australia,Oceania,Corn,1
2016,India,South Asia,Cotton,1
2011,Canada,North America,Cotton,1
1991,Australia,Oceania,Vegetables,1
2004,France,Europe,Rice,1
1997,India,South Asia,Coffee,1
1991,China,East Asia,Cotton,1
2001,India,South Asia,Sugarcane,1
2008,Nigeria,Africa,Coffee,1
1996,Brazil,South America,Rice,1
1992,France,Europe,Sugarcane,1
1991,France,Europe,Vegetables,1
2002,China,East Asia,Wheat,1
2008,USA,North America,Rice,1
2018,Canada,North America,Fruits,1
2010,Brazil,South America,Coffee,1
2013,Brazil,South America,Sugarcane,1
1994,USA,North America,Wheat,1
2021,Russia,Eurasia,Soybeans,1
1996,Brazil,South America,Sugarcane,1
2004,China,East Asia,Rice,1
2022,India,South Asia,Sugarcane,1
2017,India,South Asia,Sugarcane,1
2012,India,South Asia,Wheat,1
2019,France,Europe,Rice,1
2008,France,Europe,Wheat,1
2017,USA,North America,Rice,1
2020,USA,North America,Soybeans,1
2013,USA,North America,Cotton,1
2013,Brazil,South America,Sugarcane,1
1998,Nigeria,Africa,Soybeans,1
1994,USA,North America,Vegetables,1
2020,Argentina,South America,Soybeans,1
2023,Brazil,South America,Fruits,1
1997,Argentina,South America,Barley,1
2000,China,East Asia,Fruits,1
2012,India,South Asia,Soybeans,1
2012,China,East Asia,Soybeans,1
2023,Canada,North America,Sugarcane,1
1990,France,Europe,Vegetables,1
1997,Nigeria,Africa,Barley,1
2020,USA,North America,Rice,1
1997,Argentina,South America,Vegetables,1
2008,Nigeria,Africa,Sugarcane,1
2002,Australia,Oceania,Cotton,1
2011,USA,North America,Cotton,1
2002,Canada,North America,Rice,1
2014,France,Europe,Wheat,1
1990,Argentina,South America,Corn,1
2005,Nigeria,Africa,Wheat,1
1991,China,East Asia,Vegetables,1
2004,China,East Asia,Soybeans,1
2005,Brazil,South America,Corn,1
1991,China,East Asia,Sugarcane,1
